
County,Neighborhood,"SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 1, 2010 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 2, 2010 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 3, 2010 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 4, 2010 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 1, 2011 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 2, 2011 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 3, 2011 (Public Assistance)","SNAP (Food Stamps)  - total individuals, rate per 1,000 population, Quarter 4, 2011 (Public Assistance)",
Cuyahoga,Seven Hills,24.14,26.35,25.33,28.38,32.28,32.36,32.02,34.74,
Cuyahoga,Shaker Heights,91.11,92.87,87.67,101.27,105.9,109.39,106.85,107.91,
Cuyahoga,Solon,26.13,26.73,26.77,30.75,33.43,33.43,33.43,33.17,
Cuyahoga,South Euclid,120.83,123.39,116.53,134.42,140.61,142.73,139.98,143,
Cuyahoga,St.Clair-Superior,526.76,529.96,499.13,549.45,595.52,603.93,595.99,606.74,
Cuyahoga,Stockyards,506.68,518.78,489.77,516.67,536.72,536.43,533.01,528.92,
Cuyahoga,Strongsville,34.77,35.28,33.81,38.39,41.89,42.82,42.58,43.76,
Cuyahoga,Tremont,351.36,359.15,341.55,375.38,384.61,382.18,387.3,379.12,
Cuyahoga,Union-Miles,414.49,418.91,395.13,438.01,476.64,476.04,480.86,482.72,
Cuyahoga,University,147,149.52,141.58,153.67,152.84,156.8,157.91,163.72,
Cuyahoga,University Heights,69.13,73.05,68.91,83.98,90.25,92.97,94.22,94.59,
Cuyahoga,Valley View,26.55,27.53,27.53,35.89,36.59,36.1,35.11,36.59,
Cuyahoga,Walton Hills,19.29,22.8,27.18,31.13,31.3,27.78,25.13,30.42,
Cuyahoga,Warrensville Heights,244.87,250.11,243.91,286.22,305.63,305.49,311.88,310.32,
Cuyahoga,West Boulevard,380.82,391.09,371.72,406.71,418.01,419.34,420.78,426.6,
Cuyahoga,Westlake,30.37,32.72,31.5,34.43,35.95,37.62,38.23,41.03,
Cuyahoga,Woodmere,70.14,81.45,99.55,115.38,121.37,113.51,116.88,98.9,
